N,q,dF,dg,dr,mLen,encryption_time,decryption_time
167,128,60,70,80,300,23,13
167,128,60,70,80,400,17,12
167,128,60,70,80,500,20,16
167,128,60,70,90,100,17,14
167,128,60,70,90,200,10,12
167,128,60,70,90,300,14,18
167,128,60,70,90,400,16,12
167,128,60,70,90,500,14,14
167,128,60,80,50,100,13,13
167,128,60,80,50,200,17,16
167,128,60,80,50,300,18,12
167,128,60,80,50,400,10,13
167,128,60,80,50,500,17,14
167,128,60,80,60,100,11,12
167,128,60,80,60,200,15,18
167,128,60,80,60,300,12,16
167,128,60,80,60,400,15,11
167,128,60,80,60,500,24,12
167,128,60,80,70,100,17,16
167,128,60,80,70,200,18,19
167,128,60,80,70,300,9,13
167,128,60,80,70,400,22,22
167,128,60,80,70,500,13,14
167,128,60,80,80,100,13,10
167,128,60,80,80,200,16,14
167,128,60,80,80,300,20,12
167,128,60,80,80,400,17,16
167,128,60,80,80,500,19,12
167,128,60,80,90,100,20,18
167,128,60,80,90,200,13,11
167,128,60,80,90,300,18,10
167,128,60,80,90,400,11,10
167,128,60,80,90,500,18,11
167,128,60,90,50,100,10,9
167,128,60,90,50,200,21,19
167,128,60,90,50,300,20,17
167,128,60,90,50,400,32,22
167,128,60,90,50,500,20,18
167,128,60,90,60,100,11,15
167,128,60,90,60,200,17,16
167,128,60,90,60,300,16,21
167,128,60,90,60,400,12,13
167,128,60,90,60,500,11,15
167,128,60,90,70,100,12,33
167,128,60,90,70,200,21,23
167,128,60,90,70,300,13,16
167,128,60,90,70,400,13,13
167,128,60,90,70,500,17,12
167,128,60,90,80,100,17,11
167,128,60,90,80,200,18,17
167,128,60,90,80,300,14,12
167,128,60,90,80,400,13,12
167,128,60,90,80,500,18,12
167,128,60,90,90,100,14,18
167,128,60,90,90,200,13,13
167,128,60,90,90,300,10,10
167,128,60,90,90,400,16,30
167,128,60,90,90,500,13,17
167,128,70,50,50,100,16,16
167,128,70,50,50,200,18,12
167,128,70,50,50,300,16,20
167,128,70,50,50,400,10,9
167,128,70,50,50,500,21,18
167,128,70,50,60,100,15,20
167,128,70,50,60,200,20,12
167,128,70,50,60,300,21,22
167,128,70,50,60,400,16,11
167,128,70,50,60,500,18,15
167,128,70,50,70,100,12,14
167,128,70,50,70,200,24,14
167,128,70,50,70,300,14,10
167,128,70,50,70,400,22,12
167,128,70,50,70,500,10,11
167,128,70,50,80,100,11,14
167,128,70,50,80,200,16,11
167,128,70,50,80,300,15,14
167,128,70,50,80,400,11,16
167,128,70,50,80,500,15,17
167,128,70,50,90,100,17,15
167,128,70,50,90,200,24,17
167,128,70,50,90,300,18,12
167,128,70,50,90,400,20,19
167,128,70,50,90,500,14,13
167,128,70,60,50,100,12,11
167,128,70,60,50,200,11,13
167,128,70,60,50,300,14,18
167,128,70,60,50,400,15,17
167,128,70,60,50,500,18,11
167,128,70,60,60,100,17,22
167,128,70,60,60,200,18,13
167,128,70,60,60,300,18,11
167,128,70,60,60,400,12,14
167,128,70,60,60,500,11,10
167,128,70,60,70,100,9,11
167,128,70,60,70,200,20,15
167,128,70,60,70,300,16,16
167,128,70,60,70,400,16,12
167,128,70,60,70,500,10,10
167,128,70,60,80,100,18,12
167,128,70,60,80,200,16,13
167,128,70,60,80,300,12,13
167,128,70,60,80,400,15,17
167,128,70,60,80,500,22,13
167,128,70,60,90,100,17,19
167,128,70,60,90,200,17,18
167,128,70,60,90,300,16,16
167,128,70,60,90,400,17,17
167,128,70,60,90,500,12,10
167,128,70,70,50,100,17,15
167,128,70,70,50,200,25,16
167,128,70,70,50,300,15,11
167,128,70,70,50,400,17,15
167,128,70,70,50,500,12,13
167,128,70,70,60,100,17,11
167,128,70,70,60,200,20,15
167,128,70,70,60,300,24,20
167,128,70,70,60,400,21,22
167,128,70,70,60,500,17,18
167,128,70,70,70,100,14,11
167,128,70,70,70,200,18,13
167,128,70,70,70,300,20,17
167,128,70,70,70,400,19,12
167,128,70,70,70,500,19,17
167,128,70,70,80,100,20,11
167,128,70,70,80,200,21,12
167,128,70,70,80,300,22,16
167,128,70,70,80,400,21,11
167,128,70,70,80,500,12,10
167,128,70,70,90,100,15,11
167,128,70,70,90,200,17,15
167,128,70,70,90,300,11,13
167,128,70,70,90,400,10,10
167,128,70,70,90,500,10,10
167,128,70,80,50,100,11,11
167,128,70,80,50,200,11,11
167,128,70,80,50,300,10,9
167,128,70,80,50,400,11,10
167,128,70,80,50,500,9,10
167,128,70,80,60,100,11,11
167,128,70,80,60,200,10,12
167,128,70,80,60,300,10,11
167,128,70,80,60,400,10,11
167,128,70,80,60,500,10,12
167,128,70,80,70,100,10,11
167,128,70,80,70,200,10,11
167,128,70,80,70,300,10,10
167,128,70,80,70,400,10,10
167,128,70,80,70,500,10,10
167,128,70,80,80,100,10,10
167,128,70,80,80,200,10,10
167,128,70,80,80,300,10,11
167,128,70,80,80,400,10,11
167,128,70,80,80,500,10,11
167,128,70,80,90,100,11,11
167,128,70,80,90,200,11,10
167,128,70,80,90,300,10,10
167,128,70,80,90,400,17,15
167,128,70,80,90,500,16,10
167,128,70,90,50,100,14,12
167,128,70,90,50,200,21,10
167,128,70,90,50,300,16,17
167,128,70,90,50,400,14,11
167,128,70,90,50,500,19,16
167,128,70,90,60,100,15,12
167,128,70,90,60,200,12,13
167,128,70,90,60,300,11,12
167,128,70,90,60,400,10,10
167,128,70,90,60,500,10,9
167,128,70,90,70,100,12,9
167,128,70,90,70,200,11,17
167,128,70,90,70,300,18,21
167,128,70,90,70,400,21,20
167,128,70,90,70,500,10,12
167,128,70,90,80,100,10,10
167,128,70,90,80,200,18,11
167,128,70,90,80,300,18,13
167,128,70,90,80,400,23,19
167,128,70,90,80,500,18,18
167,128,70,90,90,100,18,18
167,128,70,90,90,200,20,11
167,128,70,90,90,300,12,10
167,128,70,90,90,400,11,10
167,128,70,90,90,500,14,9
167,128,80,50,50,100,14,16
167,128,80,50,50,200,21,16
167,128,80,50,50,300,9,10
167,128,80,50,50,400,18,19
167,128,80,50,50,500,15,11
167,128,80,50,60,100,15,12
167,128,80,50,60,200,11,17
167,128,80,50,60,300,22,14
167,128,80,50,60,400,14,15
167,128,80,50,60,500,22,13
167,128,80,50,70,100,12,11
167,128,80,50,70,200,20,18
167,128,80,50,70,300,10,11
167,128,80,50,70,400,9,9
167,128,80,50,70,500,20,14
167,128,80,50,80,100,15,11
167,128,80,50,80,200,20,15
167,128,80,50,80,300,15,19
167,128,80,50,80,400,11,13
167,128,80,50,80,500,10,12
167,128,80,50,90,100,12,19
167,128,80,50,90,200,13,12
167,128,80,50,90,300,11,11
167,128,80,50,90,400,18,10
167,128,80,50,90,500,19,15
167,128,80,60,50,100,14,10
167,128,80,60,50,200,12,11
167,128,80,60,50,300,12,10
167,128,80,60,50,400,17,14
167,128,80,60,50,500,17,19
167,128,80,60,60,100,18,11
167,128,80,60,60,200,19,15
167,128,80,60,60,300,17,18
167,128,80,60,60,400,11,11
167,128,80,60,60,500,11,10
167,128,80,60,70,100,10,12
167,128,80,60,70,200,15,8
167,128,80,60,70,300,15,15
167,128,80,60,70,400,10,10
167,128,80,60,70,500,21,12
167,128,80,60,80,100,9,9
167,128,80,60,80,200,12,10
167,128,80,60,80,300,10,10
167,128,80,60,80,400,17,13
167,128,80,60,80,500,23,14
167,128,80,60,90,100,18,15
167,128,80,60,90,200,17,11
167,128,80,60,90,300,24,14
167,128,80,60,90,400,19,11
167,128,80,60,90,500,17,11
167,128,80,70,50,100,9,10
167,128,80,70,50,200,11,10
167,128,80,70,50,300,11,12
167,128,80,70,50,400,17,20
167,128,80,70,50,500,20,19
167,128,80,70,60,100,18,20
167,128,80,70,60,200,12,10
167,128,80,70,60,300,12,10
167,128,80,70,60,400,17,19
167,128,80,70,60,500,11,11
167,128,80,70,70,100,11,13
167,128,80,70,70,200,10,12
167,128,80,70,70,300,23,17
167,128,80,70,70,400,19,16
167,128,80,70,70,500,18,16
167,128,80,70,80,100,14,16
167,128,80,70,80,200,19,16
167,128,80,70,80,300,17,13
167,128,80,70,80,400,11,11
167,128,80,70,80,500,22,18
167,128,80,70,90,100,16,14
167,128,80,70,90,200,12,12
167,128,80,70,90,300,14,12
167,128,80,70,90,400,23,20
167,128,80,70,90,500,17,21
167,128,80,80,50,100,13,17
167,128,80,80,50,200,13,21
167,128,80,80,50,300,14,14
167,128,80,80,50,400,17,14
167,128,80,80,50,500,16,10
167,128,80,80,60,100,11,10
167,128,80,80,60,200,9,9
167,128,80,80,60,300,17,12
167,128,80,80,60,400,15,17
167,128,80,80,60,500,15,13
167,128,80,80,70,100,14,12
167,128,80,80,70,200,11,9
167,128,80,80,70,300,17,14
167,128,80,80,70,400,10,10
167,128,80,80,70,500,21,15
167,128,80,80,80,100,16,13
167,128,80,80,80,200,16,18
167,128,80,80,80,300,19,18
167,128,80,80,80,400,20,11
167,128,80,80,80,500,12,12
167,128,80,80,90,100,30,17
167,128,80,80,90,200,19,17
167,128,80,80,90,300,9,9
167,128,80,80,90,400,17,19
167,128,80,80,90,500,12,11
167,128,80,90,50,100,15,16
167,128,80,90,50,200,13,11
167,128,80,90,50,300,23,14
167,128,80,90,50,400,20,13
167,128,80,90,50,500,16,20
167,128,80,90,60,100,16,10
167,128,80,90,60,200,20,19
167,128,80,90,60,300,13,12
167,128,80,90,60,400,12,16
167,128,80,90,60,500,24,26
167,128,80,90,70,100,16,15
167,128,80,90,70,200,11,12
167,128,80,90,70,300,11,9
167,128,80,90,70,400,19,16
167,128,80,90,70,500,9,11
167,128,80,90,80,100,12,19
167,128,80,90,80,200,25,21
167,128,80,90,80,300,22,14
167,128,80,90,80,400,12,10
167,128,80,90,80,500,24,14
167,128,80,90,90,100,9,10
167,128,80,90,90,200,20,17
167,128,80,90,90,300,14,12
167,128,80,90,90,400,11,11
167,128,80,90,90,500,17,22
167,128,90,50,50,100,18,14
167,128,90,50,50,200,13,12
167,128,90,50,50,300,13,12
167,128,90,50,50,400,10,11
167,128,90,50,50,500,10,10
167,128,90,50,60,100,15,16
167,128,90,50,60,200,18,13
167,128,90,50,60,300,20,14
167,128,90,50,60,400,15,16
167,128,90,50,60,500,12,13
167,128,90,50,70,100,11,11
167,128,90,50,70,200,12,14
167,128,90,50,70,300,22,18
167,128,90,50,70,400,20,13
167,128,90,50,70,500,19,16
167,128,90,50,80,100,13,11
167,128,90,50,80,200,18,10
167,128,90,50,80,300,20,17
167,128,90,50,80,400,24,16
167,128,90,50,80,500,10,13
167,128,90,50,90,100,9,10
167,128,90,50,90,200,19,15
167,128,90,50,90,300,17,13
167,128,90,50,90,400,16,14
167,128,90,50,90,500,16,11
167,128,90,60,50,100,10,10
167,128,90,60,50,200,12,11
167,128,90,60,50,300,20,19
167,128,90,60,50,400,21,18
167,128,90,60,50,500,15,17
167,128,90,60,60,100,17,13
167,128,90,60,60,200,17,17
167,128,90,60,60,300,11,9
167,128,90,60,60,400,10,12
167,128,90,60,60,500,14,9
167,128,90,60,70,100,16,11
167,128,90,60,70,200,14,11
167,128,90,60,70,300,10,10
167,128,90,60,70,400,14,14
167,128,90,60,70,500,20,10
167,128,90,60,80,100,14,10
167,128,90,60,80,200,15,17
167,128,90,60,80,300,21,11
167,128,90,60,80,400,13,9
167,128,90,60,80,500,13,11
167,128,90,60,90,100,11,9
167,128,90,60,90,200,15,15
167,128,90,60,90,300,17,13
167,128,90,60,90,400,21,11
167,128,90,60,90,500,10,19
167,128,90,70,50,100,21,16
167,128,90,70,50,200,17,10
167,128,90,70,50,300,24,12
167,128,90,70,50,400,17,18
167,128,90,70,50,500,20,12
167,128,90,70,60,100,22,17
167,128,90,70,60,200,17,15
167,128,90,70,60,300,11,13
167,128,90,70,60,400,11,10
167,128,90,70,60,500,19,13
167,128,90,70,70,100,14,10
167,128,90,70,70,200,17,23
167,128,90,70,70,300,13,17
167,128,90,70,70,400,9,11
167,128,90,70,70,500,19,10
167,128,90,70,80,100,15,11
167,128,90,70,80,200,9,9
167,128,90,70,80,300,22,17
167,128,90,70,80,400,22,13
167,128,90,70,80,500,19,12
167,128,90,70,90,100,18,16
167,128,90,70,90,200,9,9
167,128,90,70,90,300,15,17
167,128,90,70,90,400,20,12
167,128,90,70,90,500,22,13
167,128,90,80,50,100,16,10
167,128,90,80,50,200,18,11
167,128,90,80,50,300,14,17
167,128,90,80,50,400,18,16
167,128,90,80,50,500,13,10
167,128,90,80,60,100,10,13
167,128,90,80,60,200,17,19
167,128,90,80,60,300,10,10
167,128,90,80,60,400,9,9
167,128,90,80,60,500,10,9
167,128,90,80,70,100,10,10
167,128,90,80,70,200,9,9
167,128,90,80,70,300,10,9
167,128,90,80,70,400,9,9
167,128,90,80,70,500,10,12
167,128,90,80,80,100,11,11
167,128,90,80,80,200,9,10
167,128,90,80,80,300,10,9
167,128,90,80,80,400,10,10
167,128,90,80,80,500,9,9
167,128,90,80,90,100,10,10
167,128,90,80,90,200,9,10
167,128,90,80,90,300,10,10
167,128,90,80,90,400,9,10
167,128,90,80,90,500,10,9
167,128,90,90,50,100,10,10
167,128,90,90,50,200,10,10
167,128,90,90,50,300,10,9
167,128,90,90,50,400,9,9
167,128,90,90,50,500,11,11
167,128,90,90,60,100,11,11
167,128,90,90,60,200,10,9
167,128,90,90,60,300,17,9
167,128,90,90,60,400,18,13
167,128,90,90,60,500,19,11
167,128,90,90,70,100,18,16
167,128,90,90,70,200,12,15
167,128,90,90,70,300,16,9
167,128,90,90,70,400,23,15
167,128,90,90,70,500,13,12
167,128,90,90,80,100,18,14
167,128,90,90,80,200,12,13
167,128,90,90,80,300,18,15
167,128,90,90,80,400,15,14
167,128,90,90,80,500,11,16
167,128,90,90,90,100,11,10
167,128,90,90,90,200,10,10
167,128,90,90,90,300,9,9
167,128,90,90,90,400,12,11
167,128,90,90,90,500,9,10
167,256,50,50,50,100,17,10
167,256,50,50,50,200,18,12
167,256,50,50,50,300,22,16
167,256,50,50,50,400,15,12
167,256,50,50,50,500,11,10
167,256,50,50,60,100,11,11
167,256,50,50,60,200,16,22
167,256,50,50,60,300,16,15
167,256,50,50,60,400,39,31
167,256,50,50,60,500,21,12
167,256,50,50,70,100,14,10
167,256,50,50,70,200,17,15
167,256,50,50,70,300,15,12
167,256,50,50,70,400,21,12
167,256,50,50,70,500,20,11
167,256,50,50,80,100,10,9
167,256,50,50,80,200,18,14
167,256,50,50,80,300,12,11
167,256,50,50,80,400,11,11
167,256,50,50,80,500,19,12
167,256,50,50,90,100,10,12
167,256,50,50,90,200,11,10
167,256,50,50,90,300,17,12
167,256,50,50,90,400,11,10
167,256,50,50,90,500,19,19
167,256,50,60,50,100,15,15
167,256,50,60,50,200,13,12
167,256,50,60,50,300,11,13
167,256,50,60,50,400,21,16
167,256,50,60,50,500,19,10
167,256,50,60,60,100,26,17
167,256,50,60,60,200,19,11
167,256,50,60,60,300,19,18
167,256,50,60,60,400,14,17
167,256,50,60,60,500,15,17
167,256,50,60,70,100,19,17
167,256,50,60,70,200,20,17
167,256,50,60,70,300,17,13
167,256,50,60,70,400,16,19
167,256,50,60,70,500,17,14
167,256,50,60,80,100,22,22
167,256,50,60,80,200,22,17
167,256,50,60,80,300,20,15
167,256,50,60,80,400,22,16
167,256,50,60,80,500,27,12
167,256,50,60,90,100,25,24
167,256,50,60,90,200,24,13
167,256,50,60,90,300,12,11
167,256,50,60,90,400,13,12
167,256,50,60,90,500,16,13
167,256,50,70,50,100,16,14
167,256,50,70,50,200,15,13
167,256,50,70,50,300,11,11
167,256,50,70,50,400,18,13
167,256,50,70,50,500,16,15
167,256,50,70,60,100,16,10
167,256,50,70,60,200,9,10
167,256,50,70,60,300,13,11
167,256,50,70,60,400,21,11
167,256,50,70,60,500,15,10
167,256,50,70,70,100,14,10
167,256,50,70,70,200,21,14
167,256,50,70,70,300,15,11
167,256,50,70,70,400,19,15
167,256,50,70,70,500,16,12
167,256,50,70,80,100,17,11
167,256,50,70,80,200,14,11
167,256,50,70,80,300,17,11
167,256,50,70,80,400,18,12
167,256,50,70,80,500,19,19
167,256,50,70,90,100,29,16
167,256,50,70,90,200,15,12
167,256,50,70,90,300,15,17
167,256,50,70,90,400,15,15
167,256,50,70,90,500,13,10
167,256,50,80,50,100,19,12
167,256,50,80,50,200,21,13
167,256,50,80,50,300,21,14
167,256,50,80,50,400,18,10
167,256,50,80,50,500,12,11
167,256,50,80,60,100,13,11
167,256,50,80,60,200,9,11
167,256,50,80,60,300,20,13
167,256,50,80,60,400,15,15
167,256,50,80,60,500,18,15
167,256,50,80,70,100,15,11
167,256,50,80,70,200,14,19
167,256,50,80,70,300,17,17
167,256,50,80,70,400,13,15
167,256,50,80,70,500,22,20
167,256,50,80,80,100,14,11
167,256,50,80,80,200,10,9
167,256,50,80,80,300,9,9
167,256,50,80,80,400,14,16
167,256,50,80,80,500,10,14
167,256,50,80,90,100,20,20
167,256,50,80,90,200,11,12
167,256,50,80,90,300,12,11
167,256,50,80,90,400,10,18
167,256,50,80,90,500,16,15
167,256,50,90,50,100,11,10
167,256,50,90,50,200,11,11
167,256,50,90,50,300,14,15
167,256,50,90,50,400,9,11
167,256,50,90,50,500,12,12
167,256,50,90,60,100,14,10
167,256,50,90,60,200,12,12
167,256,50,90,60,300,15,12
167,256,50,90,60,400,15,12
167,256,50,90,60,500,20,10
167,256,50,90,70,100,13,12
167,256,50,90,70,200,12,14
167,256,50,90,70,300,26,17
167,256,50,90,70,400,10,10
167,256,50,90,70,500,14,11
167,256,50,90,80,100,13,15
167,256,50,90,80,200,13,13
167,256,50,90,80,300,17,12
167,256,50,90,80,400,16,14
167,256,50,90,80,500,19,14
167,256,50,90,90,100,10,10
167,256,50,90,90,200,15,17
167,256,50,90,90,300,20,14
167,256,50,90,90,400,18,11
167,256,50,90,90,500,19,17
167,256,60,50,50,100,13,13
167,256,60,50,50,200,21,18
167,256,60,50,50,300,17,16
167,256,60,50,50,400,14,22
167,256,60,50,50,500,17,11
167,256,60,50,60,100,22,11
167,256,60,50,60,200,11,10
167,256,60,50,60,300,16,12
167,256,60,50,60,400,12,16
167,256,60,50,60,500,12,11
167,256,60,50,70,100,18,11
167,256,60,50,70,200,9,10
167,256,60,50,70,300,11,15
167,256,60,50,70,400,8,9
167,256,60,50,70,500,10,10
167,256,60,50,80,100,12,13
167,256,60,50,80,200,14,9
167,256,60,50,80,300,10,9
167,256,60,50,80,400,19,19
167,256,60,50,80,500,20,12
167,256,60,50,90,100,9,10
167,256,60,50,90,200,12,12
167,256,60,50,90,300,20,15
167,256,60,50,90,400,16,17
167,256,60,50,90,500,11,11
167,256,60,60,50,100,11,10
167,256,60,60,50,200,12,12
167,256,60,60,50,300,20,19
167,256,60,60,50,400,10,9
167,256,60,60,50,500,9,9
167,256,60,60,60,100,10,12
167,256,60,60,60,200,15,13
167,256,60,60,60,300,21,18
167,256,60,60,60,400,11,15
167,256,60,60,60,500,19,11
167,256,60,60,70,100,9,9
167,256,60,60,70,200,15,9
167,256,60,60,70,300,17,9
167,256,60,60,70,400,10,14
167,256,60,60,70,500,22,14
167,256,60,60,80,100,12,13
167,256,60,60,80,200,9,10
167,256,60,60,80,300,13,13
167,256,60,60,80,400,10,10
167,256,60,60,80,500,10,11
167,256,60,60,90,100,9,10
167,256,60,60,90,200,9,9
167,256,60,60,90,300,9,10
167,256,60,60,90,400,9,10
167,256,60,60,90,500,15,11
167,256,60,70,50,100,13,10
167,256,60,70,50,200,16,14
167,256,60,70,50,300,15,16
167,256,60,70,50,400,11,12
167,256,60,70,50,500,10,10
167,256,60,70,60,100,9,12
167,256,60,70,60,200,10,11
167,256,60,70,60,300,10,9
167,256,60,70,60,400,21,13
167,256,60,70,60,500,13,11
167,256,60,70,70,100,12,14
167,256,60,70,70,200,11,11
167,256,60,70,70,300,10,14
167,256,60,70,70,400,9,9
167,256,60,70,70,500,20,10
167,256,60,70,80,100,10,10
167,256,60,70,80,200,18,12
167,256,60,70,80,300,22,17
167,256,60,70,80,400,9,10
167,256,60,70,80,500,17,11
167,256,60,70,90,100,20,15
167,256,60,70,90,200,13,12
167,256,60,70,90,300,20,20
167,256,60,70,90,400,12,13
167,256,60,70,90,500,17,18
167,256,60,80,50,100,17,11
167,256,60,80,50,200,15,17
167,256,60,80,50,300,13,10
167,256,60,80,50,400,18,12
167,256,60,80,50,500,18,15
167,256,60,80,60,100,16,10
167,256,60,80,60,200,21,11
167,256,60,80,60,300,19,16
167,256,60,80,60,400,22,15
167,256,60,80,60,500,20,14
167,256,60,80,70,100,23,14
167,256,60,80,70,200,13,10
167,256,60,80,70,300,12,10
167,256,60,80,70,400,11,14
167,256,60,80,70,500,30,21
167,256,60,80,80,100,13,15
167,256,60,80,80,200,20,11
167,256,60,80,80,300,16,17
167,256,60,80,80,400,20,14
167,256,60,80,80,500,10,9
167,256,60,80,90,100,10,10
167,256,60,80,90,200,9,10
167,256,60,80,90,300,9,9
167,256,60,80,90,400,9,10
167,256,60,80,90,500,9,10
167,256,60,90,50,100,11,10
167,256,60,90,50,200,10,10
167,256,60,90,50,300,10,10
167,256,60,90,50,400,9,10
167,256,60,90,50,500,9,11
167,256,60,90,60,100,9,9
167,256,60,90,60,200,10,10
167,256,60,90,60,300,11,11
167,256,60,90,60,400,11,11
167,256,60,90,60,500,11,12
167,256,60,90,70,100,12,12
167,256,60,90,70,200,13,9
167,256,60,90,70,300,9,11
167,256,60,90,70,400,10,9
167,256,60,90,70,500,10,10
167,256,60,90,80,100,10,9
167,256,60,90,80,200,10,9
167,256,60,90,80,300,10,9
167,256,60,90,80,400,21,17
167,256,60,90,80,500,18,11
167,256,60,90,90,100,24,12
167,256,60,90,90,200,33,15
167,256,60,90,90,300,11,11
167,256,60,90,90,400,17,10
167,256,60,90,90,500,13,18
167,256,70,50,50,100,18,17
167,256,70,50,50,200,15,18
167,256,70,50,50,300,17,12
167,256,70,50,50,400,21,17
167,256,70,50,50,500,20,14
167,256,70,50,60,100,10,11
167,256,70,50,60,200,13,12
167,256,70,50,60,300,21,15
167,256,70,50,60,400,14,21
167,256,70,50,60,500,13,16
167,256,70,50,70,100,11,15
167,256,70,50,70,200,12,16
167,256,70,50,70,300,24,19
167,256,70,50,70,400,23,21
167,256,70,50,70,500,19,13
167,256,70,50,80,100,10,11
167,256,70,50,80,200,23,25
167,256,70,50,80,300,16,10
167,256,70,50,80,400,29,19
167,256,70,50,80,500,17,17
167,256,70,50,90,100,16,16
167,256,70,50,90,200,20,12
167,256,70,50,90,300,12,21
167,256,70,50,90,400,29,18
167,256,70,50,90,500,22,13
167,256,70,60,50,100,20,14
167,256,70,60,50,200,12,11
167,256,70,60,50,300,9,12
167,256,70,60,50,400,18,12
167,256,70,60,50,500,16,14
167,256,70,60,60,100,21,22
167,256,70,60,60,200,20,20
167,256,70,60,60,300,15,17
167,256,70,60,60,400,13,11
167,256,70,60,60,500,20,15
167,256,70,60,70,100,15,11
167,256,70,60,70,200,11,10
167,256,70,60,70,300,13,12
167,256,70,60,70,400,16,18
167,256,70,60,70,500,14,15
167,256,70,60,80,100,18,11
167,256,70,60,80,200,21,11
167,256,70,60,80,300,22,11
167,256,70,60,80,400,16,12
167,256,70,60,80,500,15,13
167,256,70,60,90,100,18,17
167,256,70,60,90,200,19,11
167,256,70,60,90,300,16,16
167,256,70,60,90,400,12,12
167,256,70,60,90,500,19,22
167,256,70,70,50,100,18,12
167,256,70,70,50,200,11,11
167,256,70,70,50,300,15,18
167,256,70,70,50,400,11,12
167,256,70,70,50,500,12,14
167,256,70,70,60,100,10,10
167,256,70,70,60,200,9,10
167,256,70,70,60,300,11,10
167,256,70,70,60,400,12,13
167,256,70,70,60,500,10,11
167,256,70,70,70,100,13,11
167,256,70,70,70,200,12,10
167,256,70,70,70,300,13,14
167,256,70,70,70,400,21,13
167,256,70,70,70,500,22,12
167,256,70,70,80,100,25,14
167,256,70,70,80,200,32,20
167,256,70,70,80,300,12,18
167,256,70,70,80,400,18,10
167,256,70,70,80,500,14,10
167,256,70,70,90,100,10,10
167,256,70,70,90,200,11,9
167,256,70,70,90,300,18,22
167,256,70,70,90,400,19,18
167,256,70,70,90,500,14,9
167,256,70,80,50,100,15,12
167,256,70,80,50,200,17,13
167,256,70,80,50,300,22,21
167,256,70,80,50,400,12,12
167,256,70,80,50,500,10,11
167,256,70,80,60,100,11,9
167,256,70,80,60,200,14,14
167,256,70,80,60,300,13,10
167,256,70,80,60,400,10,10
167,256,70,80,60,500,23,20
167,256,70,80,70,100,19,15
167,256,70,80,70,200,14,10
167,256,70,80,70,300,14,13
167,256,70,80,70,400,21,18
167,256,70,80,70,500,11,9
167,256,70,80,80,100,12,10
167,256,70,80,80,200,19,18
167,256,70,80,80,300,19,21
167,256,70,80,80,400,21,15
167,256,70,80,80,500,10,10
167,256,70,80,90,100,10,9
167,256,70,80,90,200,14,16
167,256,70,80,90,300,17,12
167,256,70,80,90,400,23,12
167,256,70,80,90,500,20,13
167,256,70,90,50,100,18,13
167,256,70,90,50,200,13,19
167,256,70,90,50,300,16,12
167,256,70,90,50,400,16,15
167,256,70,90,50,500,15,13
167,256,70,90,60,100,9,11
167,256,70,90,60,200,11,9
167,256,70,90,60,300,14,9
167,256,70,90,60,400,10,11
167,256,70,90,60,500,25,16
167,256,70,90,70,100,20,11
167,256,70,90,70,200,20,14
167,256,70,90,70,300,11,14
167,256,70,90,70,400,16,10
167,256,70,90,70,500,14,17
167,256,70,90,80,100,16,27
167,256,70,90,80,200,20,13
167,256,70,90,80,300,20,24
167,256,70,90,80,400,16,17
167,256,70,90,80,500,19,12
167,256,70,90,90,100,20,14
167,256,70,90,90,200,22,18
167,256,70,90,90,300,23,22
167,256,70,90,90,400,20,16
167,256,70,90,90,500,18,11
167,256,80,50,50,100,16,17
167,256,80,50,50,200,11,9
167,256,80,50,50,300,12,11
167,256,80,50,50,400,10,11
167,256,80,50,50,500,14,11
167,256,80,50,60,100,12,10
167,256,80,50,60,200,21,14
167,256,80,50,60,300,20,18
167,256,80,50,60,400,23,13
167,256,80,50,60,500,19,19
167,256,80,50,70,100,17,12
167,256,80,50,70,200,17,10
167,256,80,50,70,300,19,13
167,256,80,50,70,400,20,19
167,256,80,50,70,500,11,12
167,256,80,50,80,100,13,11
167,256,80,50,80,200,9,10
167,256,80,50,80,300,20,11
167,256,80,50,80,400,21,19
167,256,80,50,80,500,12,10
167,256,80,50,90,100,14,10
167,256,80,50,90,200,19,17
167,256,80,50,90,300,21,18
167,256,80,50,90,400,22,12
167,256,80,50,90,500,17,10
167,256,80,60,50,100,17,15
167,256,80,60,50,200,13,13
167,256,80,60,50,300,14,12
167,256,80,60,50,400,11,10
167,256,80,60,50,500,12,14
167,256,80,60,60,100,13,17
167,256,80,60,60,200,17,10
167,256,80,60,60,300,25,17
167,256,80,60,60,400,18,17
167,256,80,60,60,500,16,9
167,256,80,60,70,100,9,9
167,256,80,60,70,200,13,12
167,256,80,60,70,300,15,11
167,256,80,60,70,400,19,18
167,256,80,60,70,500,10,9
167,256,80,60,80,100,9,10
167,256,80,60,80,200,19,16
167,256,80,60,80,300,24,18
167,256,80,60,80,400,26,13
167,256,80,60,80,500,16,15
167,256,80,60,90,100,19,22
167,256,80,60,90,200,25,13
167,256,80,60,90,300,9,13
167,256,80,60,90,400,14,12
167,256,80,60,90,500,22,12
167,256,80,70,50,100,20,18
167,256,80,70,50,200,20,12
167,256,80,70,50,300,23,19
167,256,80,70,50,400,18,16
167,256,80,70,50,500,9,9
167,256,80,70,60,100,10,12
167,256,80,70,60,200,9,11
167,256,80,70,60,300,13,10
167,256,80,70,60,400,21,15
167,256,80,70,60,500,25,22
167,256,80,70,70,100,15,12
167,256,80,70,70,200,26,17
167,256,80,70,70,300,21,16
167,256,80,70,70,400,19,11
167,256,80,70,70,500,18,19
