N,q,dF,dg,dr,mLen,encryption_time,decryption_time
107,128,60,60,90,400,18,12
107,128,60,60,90,500,16,10
107,128,60,70,50,100,10,11
107,128,60,70,50,200,12,9
107,128,60,70,50,300,14,11
107,128,60,70,50,400,18,13
107,128,60,70,50,500,14,10
107,128,60,70,60,100,14,11
107,128,60,70,60,200,13,10
107,128,60,70,60,300,13,18
107,128,60,70,60,400,15,18
107,128,60,70,60,500,17,12
107,128,60,70,70,100,19,11
107,128,60,70,70,200,21,26
107,128,60,70,70,300,21,18
107,128,60,70,70,400,17,10
107,128,60,70,70,500,19,11
107,128,60,70,80,100,18,18
107,128,60,70,80,200,24,15
107,128,60,70,80,300,14,15
107,128,60,70,80,400,10,9
107,128,60,70,80,500,21,23
107,128,60,70,90,100,13,9
107,128,60,70,90,200,13,10
107,128,60,70,90,300,18,17
107,128,60,70,90,400,19,11
107,128,60,70,90,500,11,12
107,128,60,80,50,100,19,17
107,128,60,80,50,200,17,12
107,128,60,80,50,300,19,17
107,128,60,80,50,400,12,10
107,128,60,80,50,500,14,13
107,128,60,80,60,100,10,10
107,128,60,80,60,200,10,19
107,128,60,80,60,300,10,15
107,128,60,80,60,400,13,12
107,128,60,80,60,500,22,13
107,128,60,80,70,100,22,20
107,128,60,80,70,200,12,13
107,128,60,80,70,300,13,13
107,128,60,80,70,400,12,11
107,128,60,80,70,500,18,11
107,128,60,80,80,100,13,13
107,128,60,80,80,200,11,10
107,128,60,80,80,300,13,13
107,128,60,80,80,400,16,9
107,128,60,80,80,500,10,10
107,128,60,80,90,100,15,13
107,128,60,80,90,200,19,12
107,128,60,80,90,300,20,12
107,128,60,80,90,400,12,11
107,128,60,80,90,500,22,11
107,128,60,90,50,100,19,11
107,128,60,90,50,200,18,16
107,128,60,90,50,300,19,16
107,128,60,90,50,400,19,11
107,128,60,90,50,500,20,13
107,128,60,90,60,100,16,10
107,128,60,90,60,200,18,11
107,128,60,90,60,300,22,23
107,128,60,90,60,400,16,11
107,128,60,90,60,500,17,15
107,128,60,90,70,100,14,15
107,128,60,90,70,200,17,13
107,128,60,90,70,300,19,11
107,128,60,90,70,400,22,12
107,128,60,90,70,500,16,11
107,128,60,90,80,100,21,25
107,128,60,90,80,200,18,12
107,128,60,90,80,300,18,19
107,128,60,90,80,400,21,15
107,128,60,90,80,500,20,12
107,128,60,90,90,100,18,15
107,128,60,90,90,200,12,12
107,128,60,90,90,300,17,16
107,128,60,90,90,400,19,23
107,128,60,90,90,500,10,10
107,128,70,50,50,100,11,10
107,128,70,50,50,200,11,10
107,128,70,50,50,300,22,11
107,128,70,50,50,400,11,12
107,128,70,50,50,500,17,11
107,128,70,50,60,100,20,14
107,128,70,50,60,200,12,14
107,128,70,50,60,300,19,12
107,128,70,50,60,400,22,11
107,128,70,50,60,500,12,10
107,128,70,50,70,100,9,10
107,128,70,50,70,200,9,11
107,128,70,50,70,300,9,9
107,128,70,50,70,400,9,10
107,128,70,50,70,500,11,10
107,128,70,50,80,100,11,11
107,128,70,50,80,200,11,10
107,128,70,50,80,300,11,12
107,128,70,50,80,400,11,11
107,128,70,50,80,500,10,9
107,128,70,50,90,100,9,10
107,128,70,50,90,200,9,9
107,128,70,50,90,300,9,11
107,128,70,50,90,400,10,11
107,128,70,50,90,500,9,11
107,128,70,60,50,100,10,10
107,128,70,60,50,200,10,11
107,128,70,60,50,300,10,9
107,128,70,60,50,400,10,10
107,128,70,60,50,500,10,10
107,128,70,60,60,100,9,9
107,128,70,60,60,200,9,10
107,128,70,60,60,300,16,12
107,128,70,60,60,400,18,12
107,128,70,60,60,500,17,10
107,128,70,60,70,100,17,11
107,128,70,60,70,200,18,10
107,128,70,60,70,300,18,12
107,128,70,60,70,400,18,11
107,128,70,60,70,500,11,17
107,128,70,60,80,100,22,12
107,128,70,60,80,200,11,9
107,128,70,60,80,300,20,11
107,128,70,60,80,400,16,11
107,128,70,60,80,500,19,16
107,128,70,60,90,100,13,11
107,128,70,60,90,200,16,15
