mLen,N,q,dF,dg,dr,actual_encryption_time,actual_decryption_time
134,804,702,17,7,10,18,18,
1022,555,1498,16,7,13,31,27,
2508,300,1219,4,11,6,33,23,
135,480,2262,6,2,13,18,21,
542,1234,2398,16,16,19,26,23,
136,1269,632,6,3,9,16,17,
1514,672,1655,20,10,6,23,26,
137,757,2255,3,11,2,25,25,
138,1193,1047,20,11,18,19,20,
543,775,1445,15,9,13,29,23,
1023,552,520,10,2,7,24,22,
139,1066,2537,7,14,4,29,27,
140,1046,1707,3,8,1,28,19,
544,541,1659,7,17,9,19,23,
141,332,1452,6,5,5,19,16,
2011,683,603,15,12,16,21,25,
142,840,1077,4,18,3,24,24,
1515,1066,945,4,20,8,20,23,
1024,406,1262,8,6,6,29,31,
143,529,1473,2,3,10,23,18,
545,904,2469,2,15,3,20,22,
144,790,748,16,1,4,16,21,
2509,781,1238,20,4,3,22,23,
145,628,1927,7,12,5,30,18,
546,742,1108,17,20,1,19,24,
146,1124,1956,7,12,15,27,24,
147,287,2223,18,2,3,20,18,
1025,844,1420,6,10,18,26,21,
148,624,1496,8,15,14,26,25,
547,587,1180,4,3,20,21,25,
2012,753,2556,4,12,8,34,30,
1516,707,999,1,15,15,18,21,
149,666,1846,12,6,13,17,17,
150,313,900,12,18,8,28,19,
548,667,2308,12,13,14,19,20,
151,534,2112,20,19,12,23,24,
1026,1107,1827,11,10,14,22,27,
152,1212,853,2,11,2,35,21,
549,1184,1083,9,13,14,19,16,
153,1073,1467,8,5,1,20,24,
2510,686,1460,20,10,8,22,22,
154,621,1137,13,14,19,22,21,
1517,284,1194,5,4,8,19,18,
155,1238,1338,5,2,20,17,17,
1027,433,2259,19,4,6,16,20,
550,1025,1064,14,3,14,26,25,
156,821,588,3,2,16,21,18,
2013,643,1743,2,14,16,25,22,
157,1201,2329,7,4,16,18,17,
551,377,2316,5,7,13,21,18,
158,700,1794,14,12,11,23,19,
159,518,1729,13,6,13,22,27,
1028,833,1297,13,17,16,17,20,
552,475,2382,6,17,4,20,19,
160,587,1474,15,17,12,21,19,
1518,1253,1253,2,19,18,16,14,
161,1125,2258,7,11,17,23,22,
162,1110,1520,5,5,3,20,19,
553,784,1147,15,15,9,20,21,
2511,389,2112,1,2,9,25,21,
1029,328,2179,8,12,7,25,21,
163,274,1947,14,5,2,25,20,
2014,1134,2356,9,14,14,24,18,
164,597,1502,3,7,15,19,19,
554,1070,969,2,9,11,27,22,
165,860,2274,18,3,8,20,18,
1519,580,518,6,20,16,29,28,
166,1195,2117,10,1,13,20,16,
555,507,1567,9,11,11,26,16,
1030,956,1060,18,2,15,23,19,
167,1140,1286,3,16,7,20,20,
168,421,1424,18,13,9,25,30,
169,960,1035,12,10,11,20,21,
556,808,2170,7,11,8,17,20,
170,504,854,19,14,13,21,17,
2015,897,1950,12,20,2,30,19,
1031,805,1612,2,11,17,21,20,
2512,401,1778,18,18,4,24,17,
1520,552,1893,16,18,7,21,21,
171,1252,566,8,7,14,27,22,
557,1032,1880,19,5,19,23,24,
172,369,1358,4,11,8,19,21,
173,962,2115,1,9,17,21,22,
558,580,1567,12,14,2,19,15,
174,913,1810,15,11,2,21,20,
1032,1020,1579,3,14,15,26,25,
175,942,696,16,13,15,27,22,
559,369,1387,8,2,6,47,36,
176,569,999,19,17,10,25,18,
1521,980,1139,5,3,7,24,24,
177,1052,674,17,14,13,17,18,
2016,639,1253,6,13,16,23,26,
560,1213,1667,1,15,16,22,24,
178,924,1463,13,11,6,17,19,
1033,1102,2219,10,17,12,16,18,
179,505,2172,10,6,16,26,20,
2513,454,719,17,5,3,18,15,
