mLen,N,q,dF,dg,dr,actual_encryption_time,actual_decryption_time
374,1240,2126,18,13,20,16,19,
668,777,1956,5,15,11,21,21,
375,284,2081,13,3,2,18,17,
1570,1112,1579,15,15,13,24,22,
1101,330,2489,6,15,17,17,16,
669,804,2351,4,17,18,19,18,
376,312,712,20,2,2,20,24,
2054,625,1647,20,11,15,30,26,
377,780,1763,5,3,1,27,21,
670,630,1705,4,8,13,27,15,
2544,601,2057,5,12,12,16,20,
378,596,1515,14,2,12,26,21,
1102,381,2226,12,16,12,25,24,
1571,816,1153,9,1,10,19,18,
379,939,1566,2,9,2,21,21,
671,838,2491,7,19,13,24,19,
380,901,1375,1,4,20,22,19,
2055,366,1679,9,13,4,25,28,
1103,1213,1309,9,16,17,21,16,
672,467,1054,19,15,11,18,29,
381,483,778,17,14,10,25,21,
382,1005,701,5,9,10,23,29,
673,453,1397,9,12,4,23,20,
1572,1225,1633,7,13,15,26,20,
2545,376,538,19,2,13,24,24,
1104,484,1776,1,8,7,21,23,
383,568,918,15,9,17,24,27,
674,559,1940,20,9,6,22,22,
384,284,1260,11,12,5,26,25,
2056,623,1687,16,13,14,24,19,
385,817,1222,11,9,20,21,16,
1105,372,589,11,14,18,20,23,
675,1166,1887,7,13,13,18,18,
1573,737,768,12,5,2,18,19,
386,1011,2106,17,19,11,18,17,
676,1263,561,19,20,8,25,23,
387,384,2298,16,3,8,20,22,
1106,601,2192,11,15,17,23,18,
2546,539,2125,15,8,16,18,17,
388,394,1484,8,12,7,22,17,
677,357,2331,11,16,14,22,28,
1574,272,1189,14,18,2,22,19,
2057,514,1560,2,15,15,25,21,
389,1161,1993,17,12,18,25,25,
678,893,1905,9,1,6,26,18,
390,777,800,12,18,20,29,26,
1107,474,695,18,17,15,20,17,
391,553,885,4,16,1,22,30,
679,1181,1696,1,3,17,20,21,
1575,1230,1696,3,10,1,18,17,
392,505,2550,11,11,2,21,23,
1108,392,1520,2,9,7,23,17,
393,425,1854,8,3,5,20,18,
2547,973,744,11,4,11,21,29,
2058,624,2546,10,20,18,20,23,
680,413,2035,3,12,20,21,20,
394,1191,2481,13,15,4,19,20,
681,518,1464,13,14,4,35,21,
1109,1045,902,6,15,20,18,17,
395,388,2265,9,9,6,20,18,
1576,420,1878,10,20,2,17,19,
396,1259,2254,18,4,20,27,24,
682,1222,1761,6,10,8,27,23,
397,1199,1500,8,15,20,23,22,
1110,859,1405,16,17,17,19,19,
2059,1248,557,8,7,4,21,20,
683,1060,1075,3,20,17,41,41,
398,708,1601,13,2,2,32,30,
2548,805,1700,10,11,19,22,19,
1577,622,1044,5,17,11,23,19,
399,1240,1633,7,13,18,24,26,
684,1176,930,1,19,4,23,24,
1111,1258,1613,18,16,12,27,27,
400,545,2286,5,13,17,23,25,
685,546,2079,10,5,11,26,26,
401,1107,2378,20,20,6,24,19,
2060,549,657,8,4,20,20,30,
1578,778,1926,9,5,10,25,22,
1112,1268,1384,2,3,12,19,20,
402,570,1742,14,2,17,32,20,
686,1212,582,11,16,17,19,19,
403,773,651,5,5,18,19,22,
2549,770,1287,20,13,13,30,25,
687,683,1166,9,12,4,21,15,
404,935,656,20,3,3,22,22,
1113,273,1730,17,19,11,22,16,
1579,771,782,6,7,17,15,21,
405,583,1669,16,7,7,23,26,
688,823,968,12,17,16,20,21,
2061,588,2266,11,11,1,22,23,
406,324,2271,10,11,6,24,26,
1114,1022,1988,6,19,16,19,20,
689,785,2395,13,17,18,27,27,
407,640,663,12,8,17,18,18,
1580,542,1875,1,4,2,29,23,
2550,1250,2513,4,15,9,31,29,
408,1056,1853,10,16,2,21,22,
690,656,2555,16,3,7,19,15,
1115,348,685,3,3,5,36,31,
409,912,1350,17,17,18,22,18,
2062,338,907,12,5,12,19,17,
691,803,969,4,4,19,19,19,
410,585,2517,20,3,5,25,26,
1116,891,644,1,1,5,19,17,
411,1242,1512,3,17,1,21,22,
1581,280,2413,1,4,16,17,18,
692,1102,870,4,19,5,16,18,
412,783,656,9,8,16,23,25,
693,685,1239,6,16,2,24,20,
2551,576,873,10,7,18,20,22,
413,308,1935,19,18,18,20,19,
1117,1181,1167,6,9,17,20,18,
2063,804,1252,16,9,11,23,26,
414,1208,656,16,4,5,16,21,
1582,1102,2556,10,3,6,19,23,
694,1098,2280,9,13,19,27,23,
415,306,2443,19,6,11,31,26,
1118,665,1186,6,5,12,20,24,
695,390,1256,15,2,11,18,15,
416,548,1716,16,11,3,37,17,
417,920,2347,7,14,17,21,20,
1583,640,1404,13,1,5,21,17,
2064,1091,1885,9,9,1,18,17,
696,1159,1504,15,13,17,21,20,
1119,904,1649,8,4,17,18,16,
2552,601,672,4,10,4,25,20,
418,643,1690,10,17,7,20,20,
697,967,855,4,2,17,25,24,
419,375,1845,2,17,7,28,24,
1120,621,1304,17,5,16,19,26,
420,430,2503,6,20,17,22,28,
698,361,1669,12,12,14,22,16,
1584,848,859,5,12,5,30,33,
421,733,1745,13,5,6,18,19,
2065,307,2179,19,18,8,25,24,
699,708,2304,1,2,19,19,20,
422,589,2432,17,8,18,31,23,
1121,392,2032,4,2,2,21,22,
2553,774,2331,5,6,7,20,16,
423,1103,1744,15,5,5,18,17,
700,1068,2174,3,19,3,19,19,
1585,1075,745,17,6,2,20,20,
424,297,940,11,15,5,16,18,
1122,848,928,2,13,8,18,20,
701,276,1957,12,8,17,23,18,
425,664,1301,13,7,6,35,27,
2066,952,1249,17,7,3,21,18,
426,1169,1070,1,8,20,18,19,
702,310,1246,17,14,1,17,17,
1586,340,1264,7,9,8,21,19,
1123,1268,2519,15,14,20,23,25,
427,807,1387,19,18,17,27,24,
2554,879,866,18,4,10,16,17,
703,1224,1932,5,14,19,20,18,
428,1213,1034,20,3,11,30,24,
1124,431,537,16,2,11,25,19,
429,376,2007,2,16,20,25,17,
2067,711,1604,3,12,18,22,24,
704,937,567,17,16,16,27,21,
1587,846,546,10,16,12,36,22,
430,1092,1798,14,5,4,24,16,
705,650,1126,4,13,6,27,24,
431,867,1702,16,15,15,35,27,
1125,751,1478,6,10,13,19,16,
432,336,2402,17,20,19,23,14,
2555,989,1665,14,15,5,20,21,
706,889,1253,20,6,18,21,16,
1588,979,1069,20,20,18,16,16,
433,836,2377,18,18,6,20,22,
2068,522,1463,12,11,8,19,19,
1126,399,2262,5,14,1,20,24,
707,1044,1034,9,5,13,22,19,
434,1003,624,7,3,14,20,19,
435,676,1941,19,10,3,15,16,
708,757,1725,2,15,15,22,22,
1127,1177,1624,5,6,13,20,21,
1589,848,1889,17,6,1,27,23,
436,513,2162,17,2,20,19,21,
709,342,2502,10,16,9,18,19,
2556,268,817,18,10,1,23,24,
2069,625,1357,10,1,10,14,16,
437,979,1135,11,17,7,16,16,
1128,585,1033,3,6,9,22,24,
438,1037,1257,4,5,8,26,29,
710,1195,2285,4,7,4,20,19,
1590,1099,1533,7,16,7,20,20,
439,593,830,15,1,2,25,25,
711,1267,2235,10,11,14,21,19,
440,1082,655,3,4,17,21,21,
1129,651,2283,17,19,9,21,18,
2070,598,719,6,10,8,29,26,
441,596,2403,20,1,17,32,19,
712,1062,1069,20,19,8,17,19,
2557,1174,758,18,20,11,21,19,
1591,521,1944,15,6,8,20,21,
442,893,1686,16,5,4,16,14,
1130,474,2269,12,20,10,29,21,
713,646,1647,2,1,20,23,13,
443,969,792,20,10,15,17,17,
444,1060,1138,9,16,8,21,14,
714,385,951,10,8,13,20,19,
1131,833,1682,20,7,9,23,15,
2071,1263,1269,20,12,5,14,15,
1592,1175,1454,7,10,18,24,19,
445,1260,1828,13,13,1,17,15,
715,771,2094,3,15,17,17,22,
446,473,1147,8,1,2,21,25,
2558,262,2307,2,11,14,18,19,
1132,372,1036,3,19,13,19,16,
447,312,1601,19,2,9,20,24,
716,751,540,18,2,12,21,19,
1593,1204,922,3,2,1,27,17,
448,795,2479,12,6,13,24,19,
2072,1270,599,2,19,4,25,22,
717,1005,1181,17,12,3,20,28,
1133,945,1872,8,7,9,37,19,
449,400,1472,4,3,6,29,27,
450,1063,2189,3,12,7,14,26,
718,817,2498,5,2,13,19,16,
1594,432,637,9,8,9,16,16,
2559,987,1584,19,19,8,16,21,
1134,936,734,17,2,1,21,23,
451,273,1766,15,5,6,17,17,
719,784,1349,17,3,20,22,21,
452,1128,1681,8,18,2,16,17,
2073,934,1020,12,19,18,20,20,
720,323,1559,13,5,18,22,26,
453,1090,1198,15,18,20,16,16,
1135,283,1276,1,8,18,17,15,
1595,555,1954,3,16,12,19,19,
454,1119,1759,5,16,15,19,19,
721,1102,1625,10,2,13,20,19,
455,1274,1101,10,16,5,34,17,
1136,306,2358,11,5,13,17,19,
2560,884,1894,18,4,17,30,27,
722,1137,1680,1,19,11,16,15,
2074,873,1214,16,17,5,17,22,
456,516,2259,4,1,17,23,21,
1596,1093,907,15,14,13,22,20,
457,970,1335,2,9,13,19,17,
723,339,1795,3,18,8,32,30,
1137,928,884,11,6,13,20,25,
458,610,751,10,15,4,22,23,
724,571,2233,16,9,17,17,20,
459,344,1505,1,18,8,25,23,
1597,1091,2046,10,3,5,20,19,
2075,586,1882,2,20,9,24,22,
1138,1072,1687,10,7,6,28,19,
2561,825,1387,20,9,12,20,16,
460,971,1507,7,18,2,19,22,
725,740,2137,7,20,3,21,21,
461,1136,2282,12,16,19,14,17,
726,602,1764,1,16,11,19,21,
1139,1070,1863,1,9,9,25,25,
462,1231,2335,7,9,18,15,13,
1598,813,1999,18,8,10,18,18,
463,1114,1299,9,6,1,15,18,
727,357,1865,12,9,9,16,16,
2076,628,1866,13,1,10,15,19,
1140,426,2308,18,5,14,15,14,
464,523,1173,5,15,12,21,28,
2562,492,2541,18,19,4,15,16,
728,862,1273,19,2,3,20,26,
465,922,2134,13,5,6,14,13,
1599,1259,2398,9,17,13,29,16,
729,688,2231,13,5,6,18,18,
1141,505,2329,16,12,1,13,13,
466,1026,1587,14,11,6,15,14,
2077,1157,1604,16,11,4,21,21,
467,890,1716,14,11,12,13,13,
730,740,673,6,16,1,15,14,
468,695,969,7,7,3,18,16,
1600,293,1832,12,3,13,14,13,
1142,1086,1056,20,18,9,15,15,
731,769,2114,17,1,17,14,15,
2563,918,1914,7,7,10,16,16,
469,771,2244,7,14,8,23,20,
470,388,1522,5,12,12,17,13,
1143,749,1925,19,2,18,23,26,
732,926,652,15,10,12,15,16,
2078,1223,638,15,3,20,21,23,
1601,306,1939,10,3,2,26,23,
471,652,980,12,1,17,15,16,
733,915,2107,17,18,12,24,28,
472,850,1042,5,18,11,23,24,
1144,550,2203,5,14,12,21,24,
473,748,729,8,14,8,20,15,
734,1104,2213,19,2,11,18,14,
2564,761,671,14,18,9,25,14,
1602,1025,1919,4,10,9,15,17,
474,829,579,18,8,9,14,15,
2079,816,1059,20,3,1,14,13,
1145,1251,2547,9,6,3,20,19,
735,1032,1172,1,5,15,15,15,
475,346,901,14,6,1,12,12,
736,559,2344,3,13,10,12,15,
476,1096,1561,3,19,17,27,19,
1146,1265,2217,17,20,1,31,34,
1603,1095,746,16,10,18,15,14,
477,875,666,19,17,18,15,12,
737,525,1455,12,5,8,16,13,
2565,1188,2482,11,14,3,37,20,
2080,1068,2320,12,4,5,20,22,
478,836,1133,20,20,7,24,21,
1147,1107,641,6,11,9,16,13,
738,1117,866,10,13,2,15,21,
479,357,1889,14,20,2,21,16,
1604,531,1369,12,4,1,17,18,
480,842,1192,2,15,17,25,25,
739,753,2084,6,16,15,21,18,
1148,1088,2306,10,18,19,22,16,
481,1227,819,13,10,14,19,21,
2081,1085,600,2,1,2,26,22,
740,391,1773,6,15,12,19,15,
482,452,2196,9,12,15,23,21,
2566,551,2336,1,5,8,15,19,
1605,1131,1839,12,1,7,16,21,
1149,1276,1887,8,17,11,19,17,
483,303,1039,15,16,14,15,15,
741,1032,1095,10,5,10,18,19,
484,953,2447,14,3,3,18,19,
742,757,1847,4,14,5,27,27,
1150,391,1254,4,16,11,21,25,
485,1193,1953,15,18,16,18,18,
2082,584,1517,13,12,1,22,23,
1606,415,1814,18,20,2,17,14,
743,883,2136,3,5,1,30,24,
486,1147,947,9,8,4,18,15,
2567,589,1208,12,8,5,28,28,
1151,692,997,11,13,20,15,17,
487,862,866,20,14,9,16,20,
744,1270,804,12,14,7,18,21,
1607,493,1546,17,19,1,27,26,
488,769,1566,3,8,2,20,16,
2083,1016,712,4,8,7,25,21,
745,1006,1606,2,3,8,18,15,
1152,656,1063,2,15,17,27,17,
489,586,1500,7,1,10,25,21,
490,765,1804,4,4,17,24,18,
746,703,1198,17,12,5,20,17,
1608,887,937,18,12,2,17,22,
2568,470,1987,16,2,17,22,21,
491,1024,860,12,8,4,16,17,
1153,783,1316,12,14,7,22,21,
747,573,1464,17,8,19,18,21,
492,359,1343,1,12,17,14,15,
2084,420,1409,3,3,5,20,16,
748,818,802,5,5,19,16,16,
493,862,1908,16,5,6,19,16,
1154,641,1646,20,2,13,38,20,
1609,821,1546,12,18,15,15,20,
494,703,615,8,2,20,18,18,
749,728,953,19,2,8,17,18,
495,1178,2376,17,2,20,34,33,
2569,671,2515,7,5,11,13,14,
1155,834,1663,18,4,18,19,16,
2085,426,687,7,15,9,35,18,
750,603,838,10,20,6,28,21,
496,369,1743,5,8,18,24,43,
1610,976,2302,18,5,13,15,13,
497,694,916,5,1,11,18,18,
751,1048,2497,14,14,14,20,22,
1156,547,1934,12,4,19,16,23,
498,1103,2510,9,19,10,27,18,
752,411,2438,17,7,20,23,22,
499,871,2505,20,16,16,31,21,
1611,545,1117,8,17,9,23,23,
2086,410,2422,6,2,15,20,16,
1157,723,1199,12,18,3,17,17,
2570,357,928,20,16,10,15,18,
753,883,905,14,13,13,20,18,
500,317,554,15,3,7,22,18,
1158,308,1883,18,7,4,24,23,
754,592,1719,17,9,15,16,19,
1612,1004,2333,1,16,11,23,21,
2087,455,982,10,10,9,22,23,
755,1111,1341,2,6,20,20,19,
1159,1152,1542,15,1,20,24,24,
2571,511,865,19,12,18,19,22,
756,667,1079,18,5,13,28,14,
1613,1155,2409,20,9,18,22,19,
1160,994,1324,7,18,18,26,24,
757,422,2125,16,4,16,22,12,
2088,760,1172,20,2,1,28,13,
758,941,1200,6,9,17,24,24,
1614,930,2207,13,6,9,22,20,
1161,922,2515,5,11,20,16,15,
2572,1173,1691,20,14,19,34,22,
759,449,1658,15,20,9,15,18,
1162,538,2157,3,13,12,21,27,
2089,1153,1451,8,12,9,18,14,
760,649,788,5,8,7,12,14,
1615,1133,836,5,7,4,20,20,
761,1250,567,17,14,5,24,24,
1163,748,1514,19,15,17,17,14,
2573,299,983,4,14,12,15,18,
762,648,2284,1,10,12,22,13,
1616,695,1895,4,17,14,15,14,
2090,1136,1971,3,14,14,14,16,
1164,1124,540,4,2,11,22,23,
763,981,1524,5,18,19,30,24,
764,941,2134,11,3,13,22,24,
1617,1163,910,12,14,18,28,14,
1165,1104,933,12,16,17,18,15,
2574,1198,537,12,20,15,19,16,
2091,492,643,18,6,13,14,15,
765,1195,1897,1,16,10,12,18,
1166,388,2251,1,18,2,26,19,
1618,389,1760,12,4,14,32,20,
766,373,1641,18,16,8,20,28,
1167,1228,2336,2,13,6,16,14,
767,534,2313,11,15,18,15,16,
2092,307,1697,8,2,15,38,18,
2575,405,2128,11,10,9,16,15,
1619,405,2454,19,14,9,27,25,
768,1134,1648,12,6,4,19,15,
1168,733,2136,10,20,14,15,15,
769,612,2169,13,6,19,23,20,
2093,434,1382,16,14,8,20,16,
1620,1264,1110,2,2,11,16,15,
1169,639,1697,15,17,2,17,15,
770,1071,2362,2,19,6,17,25,
2576,975,1608,18,2,17,19,14,
771,744,1468,11,18,20,23,28,
1170,351,1575,8,17,8,22,14,
1621,1258,2139,19,8,13,13,12,
772,382,2523,17,2,20,39,21,
2094,1062,1104,14,3,14,19,17,
1171,461,591,7,2,11,30,17,
773,372,950,9,20,7,27,22,
2577,1197,1858,4,9,17,16,19,
1622,859,1068,7,4,13,77,30,
774,1050,1630,19,19,19,15,14,
1172,278,574,11,14,14,20,15,
2095,305,2409,15,9,20,32,19,
775,1111,2449,17,14,12,16,20,
1173,1221,2271,9,3,17,21,21,
1623,398,1508,2,20,8,26,25,
776,522,658,6,13,2,27,29,
2578,324,780,2,16,7,16,19,
1174,1038,1925,10,12,16,27,30,
777,985,1444,12,17,19,30,24,
2096,394,2159,9,13,2,18,21,
1624,341,2493,12,20,16,28,30,
778,936,548,16,12,3,18,21,
1175,908,2194,19,18,14,21,16,
779,710,663,5,16,1,21,18,
1625,1137,714,9,9,14,30,20,
2579,655,762,9,14,7,23,22,
2097,843,1816,12,14,14,23,21,
1176,290,1236,16,16,8,18,24,
780,747,2397,5,12,13,20,23,
781,670,1944,18,3,4,26,30,
1177,385,905,20,14,14,23,15,
1626,1198,2521,2,15,19,21,20,
2098,1199,1350,2,11,1,18,15,
782,383,995,1,4,20,26,23,
2580,914,1095,18,11,14,16,18,
1178,747,1359,4,11,9,23,18,
783,863,788,11,19,16,19,21,
1627,1105,2026,17,12,15,14,14,
784,949,1747,2,10,3,37,16,
1179,1265,975,1,14,11,18,21,
2099,294,1989,16,12,8,26,26,
785,1049,2148,10,15,16,24,15,
1628,764,853,8,13,4,21,16,
2581,615,1187,7,9,8,33,25,
1180,336,1082,10,14,19,22,24,
786,1269,2254,1,18,7,21,17,
2100,945,593,10,3,11,25,16,
1181,1278,1367,14,14,9,26,21,
787,371,1277,12,3,11,28,20,
1629,416,638,9,3,12,16,18,
788,1154,1917,3,17,10,23,34,
2582,928,2509,9,16,17,15,17,
1182,653,651,14,12,12,21,13,
1630,1046,2303,4,11,9,18,22,
789,1104,1342,13,20,14,22,16,
2101,808,1765,2,6,2,23,18,
1183,1010,1820,10,1,10,15,19,
790,519,2504,15,8,9,18,15,
1631,624,1546,9,2,9,31,15,
791,588,2104,11,20,19,26,24,
2583,652,1431,12,3,16,36,21,
1184,311,1387,18,7,10,20,17,
2102,1180,935,11,9,2,19,15,
792,463,2352,18,17,20,16,15,
1185,400,777,10,4,17,30,24,
1632,1199,1330,16,3,7,16,15,
793,382,2307,16,8,6,22,19,
2103,759,1537,3,10,1,20,14,
794,1025,1763,18,10,10,15,15,
1186,990,2382,19,2,7,14,23,
2584,529,2471,8,20,9,17,17,
1633,917,1354,16,17,20,18,18,
795,508,930,10,6,9,18,19,
1187,417,2288,15,18,3,22,27,
796,1019,1274,5,20,12,22,22,
2104,558,2240,9,4,13,29,19,
1634,573,1046,8,6,6,22,17,
1188,524,1047,1,15,11,18,16,
797,958,2475,12,11,3,26,22,
2585,1143,588,8,3,3,24,26,
798,873,662,19,18,19,30,21,
1189,691,2274,5,14,11,15,14,
1635,725,523,7,8,6,16,20,
2105,617,1477,20,8,15,29,18,
799,631,1276,6,11,18,23,17,
1190,1240,2398,20,13,19,21,17,
2586,672,1237,7,19,1,17,15,
800,519,687,7,2,16,21,18,
1636,455,1392,5,16,16,21,18,
801,1276,606,11,19,9,25,20,
2106,1129,983,3,2,18,21,20,
1191,260,2142,14,12,10,17,16,
802,653,1950,2,2,8,26,20,
1637,1165,1582,13,4,3,14,18,
1192,523,1301,10,1,14,22,23,
2587,611,2150,2,3,5,19,18,
803,810,1427,3,8,3,26,24,
2107,488,1609,2,5,14,18,18,
1193,1173,1112,19,4,7,21,23,
804,796,1785,17,2,4,20,25,
1638,375,1624,5,2,1,19,19,
805,915,1546,7,20,17,30,24,
1194,1196,883,1,1,9,19,18,
2588,1150,1265,18,18,7,23,17,
2108,1079,738,19,17,13,24,23,
1639,1248,1843,18,20,13,23,23,
806,749,816,11,6,4,22,20,
1195,1213,2292,3,14,15,25,22,
807,1252,2348,2,8,14,26,26,
1640,866,1216,11,3,16,31,26,
808,856,1504,20,9,11,20,19,
2109,878,1259,10,9,6,22,17,
1196,775,2494,11,17,9,29,30,
2589,586,2063,18,4,2,21,22,
809,911,2061,16,11,13,37,75,
1197,564,2420,12,7,7,26,27,
1641,438,958,13,14,10,26,23,
810,455,911,8,19,7,33,37,
2110,1118,1618,15,12,5,24,22,
1198,1236,1239,19,7,13,21,18,
811,369,767,14,19,16,18,17,
2590,1261,2344,4,12,11,23,21,
1642,1273,2169,8,2,18,15,17,
812,265,1762,7,2,1,17,24,
1199,276,2327,12,17,13,24,19,
2111,837,854,2,20,8,30,21,
813,385,2465,9,18,13,17,20,
